,propensity_scores
316,0.4289782700772187
317,0.4385441734707541
318,0.44039951927875387
319,0.5577163487279757
320,0.278836434784811
321,0.4243056900554345
322,0.41340364498254417
323,0.4260140532381185
324,0.48594651910612546
325,0.38308263039567875
326,0.3817646545955651
327,0.3327757914874488
328,0.2982497239105611
329,0.3702502715688118
330,0.5200932578673052
331,0.49263924319311825
332,0.610516572778608
333,0.4363486753699042
334,0.3886558955796098
335,0.5365328902618256
336,0.5529918692322765
337,0.44925318172904205
338,0.4198389403652315
339,0.45073570192837686
340,0.4946351810275912
341,0.4586557654188585
342,0.494647683530374
343,0.41830242477022905
344,0.4055386626861635
345,0.420430134661192
346,0.4947933676063652
347,0.5776229362081181
348,0.5983951641676742
349,0.3822164308142893
350,0.47386073330234907
351,0.4032803844034356
352,0.5902271776521145
353,0.42936870710446595
354,0.2515239870379466
355,0.4768812719681341
356,0.418474626088306
357,0.43966472363960135
358,0.32139781432567943
359,0.39045684799357944
360,0.42415474495558764
361,0.530829755236145
362,0.4319905540051798
363,0.29549397202206124
364,0.41249474828886334
365,0.46179277307233135
366,0.4432118711583654
367,0.4189008268302641
368,0.44604739363347506
369,0.4940529399581276
370,0.36129541629689604
371,0.3447256804390859
372,0.4382173551579547
373,0.34163408918967014
374,0.604480798226379
375,0.4497247967855634
376,0.6362049896145792
377,0.4209249966529735
378,0.41423225570178646
379,0.5291737474379548
380,0.5297918982883068
381,0.42061949153008393
382,0.3166542462117437
383,0.4516143836875534
384,0.6587793880606443
385,0.3844463727529245
386,0.5537877146335908
387,0.60425614148249
388,0.3586792939246597
389,0.515528090542676
390,0.431157663597072
391,0.3525425480362586
392,0.49140699417029937
393,0.36084035133600423
394,0.4031291154448936
395,0.5408881070139603
396,0.37311963201952736
397,0.42132816976959153
398,0.5238829364923225
399,0.3414925771817751
400,0.48540470305583894
401,0.4646542240641075
402,0.3975387371579031
403,0.4243056900554345
404,0.45644859749492694
405,0.45842217791242285
406,0.5379986306991457
407,0.5083347875042252
408,0.37291996142354267
409,0.5096406655879014
410,0.33393434479401163
411,0.5312519083891669
412,0.4432118711583654
413,0.3921386866546347
414,0.4321844098322716
415,0.48276680685167556
416,0.5897072875923038
417,0.4957149054659706
418,0.5134243572214416
419,0.652355389899959
420,0.586387223189601
421,0.6207315350509202
422,0.6159834721440832
423,0.5214550551220302
424,0.5682796973566762
425,0.37311963201952736
426,0.4202193056329213
427,0.5799506121225027
428,0.6159834721440832
429,0.3273793202928933
430,0.5721414998788171
431,0.4031291154448936
432,0.3723379309904387
433,0.39651780437739986
434,0.44120121510853394
435,0.37852944557970397
436,0.37595687228259317
437,0.5529918692322765
438,0.6300035223960369
439,0.42017664711474506
440,0.4253876516572104
441,0.42936870710446595
442,0.4671676137495929
443,0.4139419931300118
444,0.4289782700772187
445,0.3323779385745492
446,0.4063896416939272
447,0.44305674513599175
448,0.31400161161101137
449,0.339083327546329
450,0.42449243835772116
451,0.5052530006937861
452,0.45229506725840424
453,0.47510249361604856
454,0.5336867350322083
455,0.604013108717856
456,0.4258053034035051
457,0.4694222834284955
458,0.530829755236145
459,0.438391576199908
460,0.34420367445464456
461,0.524520221034422
